"Description","Platform","Date of Impact","Macro","Meso","Micro","Media","Story","Story Link","Publications","Story Partner","Topic","Subtopic","Grant","Tags","Submitter","Author","Attachments","Additional notes","Edit","ID"
"News Articles – Jehovah’s Witnesses, Football Child Abuse, Edward Heath, Turkey Child Rape, Norwegian paedophilia ring, The Family, Scientology, Ritual Abuse, Mind Control","","01/11/2017","","Organization uses content","","Blog mentions content","","","

  Survivorship – for survivors of ritualistic abuse","","Religion","Jehovah's Witnesses","","","","","","-jehovahs-witnesses-leaders-hide-child-abuse-se/ https://www.revealnews.org/article/how-jehovahs-witnesses-leaders-hide-child-abuse-secrets-","edit","63636"
"Lost, Found, Forgotten: Hundreds of people die ANONYMOUSLY each year, But A public database offers a chance to name sOME OF THE DEAD","","01/11/2017","","","","Mention / Citation","","","

  The Santa Fe Reporter","","Criminal Justice","Does","","","","","","the country by Reveal, an investigative news website and podcast from the Center for Investigative Reporting, the 47-year-old mystery of “","edit","63641"
"Did Defense Secretary Nominee James Mattis Commit War Crimes in Iraq?","","01/12/2017","","","","Full story","","","

  Reader Supported News","","Veterans","","","Mattis, Election 2016","","","","committed by Marines under his command. Reveal from The Center for Investigative Reporting received no reply to messages sent to Mattis’","edit","63681"
"Pew shares Variety story about Glassbreakers ","","01/12/2017","","","","Mention / Citation","","","

  Project for Excellence in Journalism","","CIR (general), Glassbreaker Films","","","","","","","Davies / Digiday

Other News

Jan 11, 2017

Center for Investigative Reporting launches initiative to support female documentarians

Dave","edit","63691"
"71 years after Hiroshima, will we see a world free from nuclear weapons soon?","","01/12/2017","","","","Mention / Citation","","","

  Northwest Public Television","","Government accountability","","","Nuclear","","","","'s aggressive policies.”

Last year an investigation by Center for Investigative Reporting revealed that part of the modernization program","edit","63696"
"Did Trump's Defense Secretary Nominee James Mattis Commit War Crimes in Iraq?","","01/12/2017","","Organization uses content","","","","","

  Free Speech TV","","Veterans","","","Mattis, Election 2016","","","","is accused of carrying out war crimes by our guest, Aaron Glantz, a senior reporter at Reveal from The Center for Investigative Reporting.","edit","63716"
"PART 2: Gen. James Mattis's Role in Fallujah & Haditha Massacre, Views on Women & LGBT in Military","","01/12/2017","","","","Staff gives interview (or public appearance)","","","

  Democracy Now!","","Veterans","","","Mattis, Election 2016","","","","Glantz, a senior reporter at Reveal from The Center for Investigative Reporting whose latest investigation examines whether President-elect","edit","63726"
"Marine Congressman Hunter responds to whether or not Mattis committed war crimes","","01/12/2017","","Organization uses content","","Mention / Citation","","","

  USMC Life","","Veterans","","","","","","","Duncan Hunter responded to a report from the Center for Investigative Reporting, questioning whether Marine Corps General James Mattis","edit","63731"
"Truthout covers Aaron Glantz on Democracy Now! about Defense Sec. hearing: James Mattis Calls for US Military to Be More Lethal at Defense Secretary Confirmation Hearing","","01/13/2017","","","","Staff gives interview (or public appearance)","","","

  Truthout","","Veterans","","","","","","","","edit","63741"
"Center for Investigative Reporting Launches Initiative to Support Female Documentarians","","01/13/2017","","","","Story about organization","","","

  Variety","","CIR (general), Glassbreaker Films","","","","","","","","edit","63751"
"New Series: Deep Dig — Best Investigative Journalism mentions Education Debt investigation","","01/13/2017","","","","Mention / Citation","","","

  BillMoyers.com","","Government accountability, Youth","Education Debt","","","","","","Got Rich off the Student Debt Crisis?
— The Center for Investigative Reporting and Consumer Reports

This devastating expose, published last","edit","63771"
"10 Investigative Reporting Outlets to Follow","","01/13/2017","","","","Story about organization","","","

  BillMoyers.com","","CIR (general), Reveal (general)","","","","","","",", health care reform, business and the environment.

3. The Center For Investigative Reporting (CIR) — Founded 40 years ago in the San","edit","63776"
"UT San Diego shares Reveal's Mattis story","","01/13/2017","","","","Mention / Citation","","","

  The San Diego Union-Tribune","","Government accountability","","","Election 2016, Mattis","","","","in online.

Hunter blasted a new report by the Center for Investigative Reporting questioning whether Mattis had committed war crimes in","edit","63801"
"CGS Board Member Leads Redress Call for California Survivors of Eugenic Sterilization","","01/16/2017","","Organization uses content","","Blog mentions content","","","

  Biopolitical Times","","Criminal Justice, Government accountability, Women's rights","Sterilization","","","","","","2010 that Johnson had revealed while working with the Center for Investigative Reporting. She joined medical historian Nathaniel Comfort in","edit","63836"
"Border Patrol agent's murder trial begins this week","","01/17/2017","","","","Mention / Citation","","","

  KOXE 101.3 FM","","Customs and Border Protection, Government accountability","CBP killings","","","","","",". A joint investigation by the Tribune and Reveal from the Center for Investigative Reporting has identified at least 140 officials who were","edit","63841"
"Border Patrol agent's Texas murder trial begins","","01/17/2017","","","","Mention / Citation","","","

  TucsonSentinel.com","","Border, Immigration","CBP killings, Customs and Border Protection","","","","","",". A joint investigation by the Tribune and Reveal from the Center for Investigative Reporting has identified at least 140 officials who were","edit","63861"
"The Ways Forward: Rising to the challenge of our political climate (Part I)","","01/14/2017","","","","Mention / Citation","","","

  The Green Spotlight","","CIR (general), Reveal (general)","","","","","","","Public Interest Center for Public Integrity Reveal (from the Center for Investigative Reporting) PRI (Public Radio International) Frontline","edit","63886"
"In 2017, Journalists Have to Partner, Not Parachute","","01/18/2017","","","","Mention / Citation","","","

  SeriouslyMedia","","CIR (general), Reveal (general)","","","Reveal Labs","","","","— a collaboration of ten local newsrooms working with the Center for Investigative Reporting to report on small toxic sites across the state","edit","63926"
"California’s recent rains won’t fix its other, very big problem","","01/18/2017","","","","Full story","","","

  High Country News","","Environment","Drought","","CA Sinking","","","","to an analysis of state crop reports by Reveal from The Center for Investigative Reporting. Exports now account for about $1 in every $3","edit","63931"
"Tomah VA Medical Center’s ‘Candy Man’ stripped of license","","01/18/2017","","","","Mention / Citation","","","

  watchdog.org","","Veterans","Veterans Opiates","","Tomah","","","","that overprescribed opiates. The initial story, broken by the Center for Investigative Reporting, documented the death of a 35 year-old","edit","63936"
"Wisconsin doctor known as “Candy Man” stripped of medical license","","01/18/2017","Institutional action (firing, reorganization, etc.)","","","","","","

  Blog - Reveal","","Veterans","Veterans Opiates","","Tomah","","","","Man” in a January 2015 investigation from Reveal from The Center for Investigative Reporting. We reported that veterans treated at the Tomah","edit","63941"
"DEA Falls Short In Answering Opioid Enforcement Questions, Senators Say","","01/19/2017","","","","Mention / Citation","","","

  Kaiser Health News","","Veterans","Veterans Opiates","","Tomah","","","","Man” in a January 2015 investigation from Reveal from The Center for Investigative Reporting. We reported that veterans treated at the Tomah","edit","63946"
"‘Candy Man’ Doctor And Former Tomah VA Chief Of Staff Forced To Surrender Medical License","","01/19/2017","","","","Mention / Citation","","","

  KBET 790 Talk Now","","Veterans","Veterans Opiates","","Tomah","","","","gaining steam in January 2015, when the Center for Investigative Reporting published a piece highlighting Houlihan’s prescription policies,","edit","63951"
"Wet Winter Will Not Stop CA's Sinking Central Valley, Or Slow Aquifer Depletion","","01/19/2017","","","","Full story","","","

  Democratic Underground","","Environment","Drought","","","","","","sinking of prime agricultural area in the Central Valley.

EDIT

https://www.revealnews.org/article/the-drought-didnt-make-california-sink-","edit","63956"
"Tomah VA Medical Center's ‘Candy Man' stripped of license","","01/19/2017","","","","Mention / Citation","","","

  Right Wisconsin","","Veterans","Veterans Opiates","","Tomah","","","","that overprescribed opiates. The initial story, broken by the Center for Investigative Reporting, documented the death of a 35 year-old","edit","63961"
"Tomah VA Medical Center’s ‘Candy Man’ stripped of license","","01/19/2017","","","","Mention / Citation","","","

  Townhall","","Veterans","Veterans Opiates","","Tomah","","","","that overprescribed opiates. The initial story, broken by the Center for Investigative Reporting, documented the death of a 35 year-old","edit","63966"
"NYWICI Must Reads Jan. 13, 2017","","01/20/2017","","","","Mention / Citation","","","

  New York Women in Communications, Inc.","","CIR (general), Glassbreaker Films","","","","","","","With Their Lives Than Men Are (Quartz) Center for Investigative Reporting Launches Initiative To Support Female Documentarians (Variety) The","edit","63986"
"Meserve seeks review of rape case, attorney claims evidence withheld","","01/20/2017","","","","Mention / Citation","","","

  Times-Standard Online","","Women's rights, Working world","Trafficking","","","","","","feed her to animals.”

A 2016 report from the Center for Investigative Reporting identified Kailan Meserve as a cannabis cultivator and said","edit","63996"
"News, fake and real","","01/21/2017","","","","Mention / Citation","","","

  burdenon society","","CIR (general), Reveal (general)","","","","","","",", health care reform, business and the environment. 3. The Center For Investigative Reporting (CIR) — Founded 40 years ago in the San","edit","64016"
"We mustn't let Christie and Trump undermine the free press - our democracy | Opinion","","01/22/2017","","","","Mention / Citation","","","

  NJ.com","","CIR (general)","","","","","","","of course, are the energetic activities of ProPublica, the Center for Investigative Reporting and the Center for Public Integrity.

Joining","edit","64021"
"Media offer wide range of opinions on how to cover Trump","","01/22/2017","","","","Mention / Citation","","","

  Daily Kos","","CIR (general)","","","","","","",". They are Pro Publica, the Center for Public Integrity, the Center for Investigative Reporting, now online at Reveal, Frontline on PBS,","edit","64026"
"VA Says 68,000 Vets Addicted to Opioid Painkillers","","01/23/2017","","Organization uses content","","","","","

  Psychology Today Blog","","Veterans","Veterans Opiates","","","","","","make sense, that are evidence based.”

Finally, the Center for Investigative Reporting told the story of Tim Fazio. Fazio started getting","edit","64046"
"Reveal wins IRE Philip Meyer Award for wildfire data story","","01/23/2017","","Award","","","","","

  Reveal","","Environment, Government accountability","","","Wildfire","","","","Reveal from The Center for Investigative Reporting has received a 2017 Philip Meyer Journalism Award, which honors the best journalism using","edit","64051"
"'Local is not geographical anymore, local is our interest': How single issue platform Coda Story reports on the bigger picture","","01/24/2017","","","","Mention / Citation","","","

  Journalism.co.uk","","Inequality, Reveal (general)","","","Russia's Scapegoats","","","","a radio show produced in partnership with Reveal from the Center for Investigative Reporting, broadcast to 360 public radio stations in the","edit","64071"
"CIR wins investigative award for fire data interactive","","01/24/2017","","Award","","Mention / Citation","","","

  The Atlanta Journal-Constitution","","Environment","","","Wildfire","","","","Pham, Sinduja Rangarajan and Julia Smith of Reveal from The Center for Investigative Reporting.

Third place went to “The Tennis Racket,” an","edit","64086"
"Egal, was Trump heute sagt: Auch seine Mauer wird irgendwo aufhören","","01/25/2017","","","","Mention / Citation","","","

  MSN Schweiz","","Border, Immigration","","","Border wall","","","","Grenzen dar, die praktisch unüberwindbar sind.

© karte via revealnews.org / Rot: Fussgängersperre; Orange: Fahrzeugsperre.
Irgendwann muss","edit","64101"
"In Addition to Border Wall, Trump’s Executive Action Targets Detention Space","","01/25/2017","","","","Blog mentions content","","","

  The Rivard Report","","Border, Immigration","","","Border wall","","","","are outlined in purple.This map was created by Reveal from the Center for Investigative Reporting. Sources include: Reveal research, U.S.","edit","64126"
"In addition to border wall, Trump's executive action targets detention space","","01/26/2017","","","","Mention / Citation","","","

  KOXE 101.3 FM","","Border, Immigration","","","Border wall","","","","are outlined in purple.This map was created by Reveal from the Center for Investigative Reporting. Sources include: Reveal research, U.S.","edit","64136"
"O.penVAPE Presents Donation To Grow for Vets USA","","01/26/2017","","","","Mention / Citation","","","

  StreetInsider.com","","Veterans","Veterans Opiates","","","","","","pain. He referred to a 2013 analysis by the Center for Investigative Reporting that showed a 270 percent increase in written prescriptions","edit","64146"
"","","01/26/2017","","","","Blog mentions content","","","

  Zero Hedge","","CIR (general)","","","","","","",". The Center for Public Integrity, ProPublica and the Center for Investigative Reporting are more fearless about holding power to account.","edit","64151"
"Workers File More Than Thirty Wage Theft, Harassment, Intimidation Complaints Against Brands Owned by Trump’s Embattled Labor Secretary Nominee","","01/26/2017","","","","Mention / Citation","","","

  Common Dreams","","Working world","","","Minimum wage","","","","taxpayers an estimated $247 million a year. And the Center for Investigative Reporting revealed that Puzder spent $10,000 of his own money","edit","64156"
"O.penVAPE CEO mentions CIR opiates investigation, Presents Donation To Grow for Vets USA","","01/26/2017","","Organization uses content","","Mention / Citation","","","

  Marketing & Advertising Industry News - EIN News","","Veterans","Veterans Opiates","","","","","","pain. He referred to a 2013 analysis by the Center for Investigative Reporting that showed a 270 percent increase in written prescriptions","edit","64161"
"LA’s Mega Water Users Still Pumped Millions of Gallons Despite Drought","","01/26/2017","","","","Full story","","","

  PublicCEO","","California, Environment, Government accountability","Drought","","","","","","water customers cut back their use after Reveal from The Center for Investigative Reporting exposed profligate water waste in some of the","edit","64166"
"Chief of Border Patrol leaving agency","","01/26/2017","","","","Mention / Citation","","","

  TucsonSentinel.com","","Border, Customs and Border Protection","Customs and Border Protection","","","","","","defended comments he made to Congress.

Obtained by the Center for Investigative Reporting, Morgan wrote that the transition to the Trump","edit","64171"
"All this recent rain won’t stop California from sinking","","01/26/2017","","","","Mention / Citation","","","

  California Political Review","","Environment, Government accountability","Drought","","","","","","to an analysis of state crop reports by Reveal from The Center for Investigative Reporting. Exports now account for about $1 in every $3","edit","64201"
"New bill aims to stop discrimination and exploitation in the temp industry","","01/27/2017","Law proposed","","","Mention / Citation","","","

  The Chicago Reporter","","Working world","Temp workers","","","","","","workers.”

An investigation by Reveal from The Center for Investigative Reporting found systemic race and gender discrimination throughout","edit","64206"
"A Look At Barriers Along US Southern Border","","01/27/2017","","","","Staff gives interview (or public appearance)","","","

  KJZZ.org","","Border, Customs and Border Protection","","","","","","","different places.

That’s something Andrew Becker’s been looking in to. Becker is with Reveal from the Center for Investigative Reporting.","edit","64211"
"Workers File More Than Thirty Wage Theft, Harassment, Intimidation Complaints Against Brands Owned by Trump’s Embattled Labor Secretary Nominee","","01/27/2017","","","","Mention / Citation","","","

  eNews Park Forest","","Government accountability, Working world","Trump","","","","","","taxpayers an estimated $247 million a year. And the Center for Investigative Reporting revealed that Puzder spent $10,000 of his own money","edit","64226"
"CNN must find a way to reinvigorate itself","","01/27/2017","","","","Mention / Citation","","","

  Gulf News","","CIR (general)","","","","","","",". The Center for Public Integrity, ProPublica and the Center for Investigative Reporting are more fearless about holding power to account.","edit","64231"
"Chicago turns to tech to curb murder rate: Will it work?","","01/28/2017","","","","Mention / Citation","","","

  Yahoo! News","","Guns","","","ShotSpotter","","","","report released in January found.

However, the Center for Investigative Reporting found that most assailants take off almost immediately","edit","64251"
"'Polleros' desafían el muro de Donald Trump","","01/30/2017","","","","Mention / Citation","","","

  El Siglo de Torreón.com.mx","","Border, Customs and Border Protection","Customs and Border Protection","","","","","","","edit","64276"
"'Polleros' desafían el muro de Donald Trump","","01/30/2017","","","","Mention / Citation","","","

  Alianza Tex","","Border, Customs and Border Protection","Customs and Border Protection","","","","","","","edit","64296"
"‘Polleros’ desafían el muro de Donald Trump","","01/30/2017","","","","Mention / Citation","","","

  Juarez Noticias","","Border, Customs and Border Protection","Customs and Border Protection","","","","","","York Times”.

La organización de periodismo de investigación Center for Investigative Reporting ha detallado más de un centenar de casos de","edit","64301"
"Opinions differ on whether it’s ‘meet the new boss, same as the old boss’ at Tomah VA","","01/30/2017","","","","Mention / Citation","","","

  watchdog.org","","Veterans","Veterans Opiates","","","","","","‘Candy Man’ stripped of license

The initial story, broken by the Center for Investigative Reporting, documented the death of a 35-year-old","edit","64306"
"Trump's Proposed Shakeup Of Work-Visa Program Could Leave Silicon Valley Scrambling","","01/30/2017","","","","Mention / Citation","","","

  Forbes","","Government accountability, Working world","Techsploitation","","","","","","workers trying to secure employment with tech companies, the Center for Investigative Reporting found in a detailed 2014 report. Earlier","edit","64311"
"‘State of Eugenics’ Film Sheds Light on North Carolina’s Sterilization Abuse Program","","01/30/2017","","","","","","","

  Rewire","","","","","","","","","stories are still emerging. In 2013, the Center for Investigative Reporting found that doctors under contract with the California Department","edit","64326"
"We don't care about Trump's wall: immigrant smugglers","","01/30/2017","","","","Mention / Citation","","","

  ElUniversal.mx","","Border, Customs and Border Protection","Customs and Border Protection","","","","","","to drug cartels.” The NYT published.

The Center for Investigative Reporting have documented 153 cases of corruption investigations against","edit","64336"
"What Recent Rains Mean for California Farmers","","01/31/2017","","","","Mention / Citation","","","

  Olive Oil Times","","California, Environment","Drought","","","","","","for certain exported food crops.

Recent estimates from the Center for Investigative Reporting reveal that a third of all revenue generated","edit","64356"
"Union-backed Vitello named as Border Patrol chief","","01/31/2017","","","","Mention / Citation","","","

  TucsonSentinel.com","","Customs and Border Protection","Customs and Border Protection","","","","","","defended comments he made to Congress.

Obtained by the Center for Investigative Reporting, Morgan wrote that the transition to the Trump","edit","64381"
"Opinions differ on whether it’s ‘meet the new boss, same as the old boss’ at Tomah VA","","01/31/2017","","","","Mention / Citation","","","

  Townhall","","Veterans","Veterans Opiates","","Tomah","","","","‘Candy Man’ stripped of license

The initial story, broken by the Center for Investigative Reporting, documented the death of a 35-year-old","edit","64386"
"After Trump Keeps Obama Order, LGBTQ Advocates Skeptical of Administration","","02/01/2017","","","","Mention / Citation","","","

  KSTP TV","","Government accountability, Religion, Working world","Trump","","","","","","serving as Governor of Indiana.

Late Wednesday, the Center for Investigative Reporting obtained and published a draft of an executive order","edit","64401"
"'March Against Discrimination' in Philly Thursday takes aim at Trump","","02/02/2017","","","","Mention / Citation","","","

  Metro","","Government accountability, Religion, Working world","Trump","","","","","","job duties if they conflict with their religious beliefs. The Center for Investigative Reporting obtained a copy of the draft.

The draft","edit","64421"
"Women Fear Drug They Used To Halt Puberty Led To Health Problems","","02/02/2017","","","","Full story","","","

  Standard-Examiner","","Government accountability, Health, Women's rights","","","","","","","to questions from Kaiser Health News and Reveal from The Center for Investigative Reporting.

The FDA is also reviewing deadly seizures","edit","64431"
"The Never-Ending Indian Wars: Spotlight Returns To Standing Rock","","02/02/2017","","","","Blog mentions content","","","

  JUST","","CIR (general), Environment","","","DAPL, Standing Rock","","","","as for In These Times and other national publications. The Center for Investigative Reporting and the Fund for Investigative Journalism have","edit","64436"
"27 Podcasts You Should Be Subscribing To In 2017","","02/02/2017","","","","Mention / Citation","","","

  Buzzfeed","","Reveal (general)","","","","","","","some of the most talented journalists in the biz out of the Center for Investigative Reporting, should be listened to by anyone who wants to","edit","64441"
"Transgender Veteran Says Border Patrol Abused Him","","02/02/2017","","","","Mention / Citation","","","

  Courthouse News Service","","Border, Customs and Border Protection","CBP killings, Customs and Border Protection","","","","","","of child pornography during the previous six years.

The Center for Investigative Reporting, citing Customs and Border Patrol statistics,","edit","64446"
"Wesley Lowery, They Can’t Kill Us All & Frederick Clarkson on “Dystrumpian” Theocracy","","02/02/2017","","","","Blog mentions content","","","

  Writer's Voice with Francesca Rheannon","","Government accountability, Religion, Working world","Trump","","","","","","to a draft executive order obtained by Reveal from The Center for Investigative Reporting. Frederick Clarkson has been studying right-wing","edit","64456"
"The US is about to exclude the next generation of immigrant entrepreneurs","","02/02/2017","","","","Mention / Citation","","","

  Quartz","","International, Working world","Techsploitation","","","","","","to engineers). An investigation by the The Center for Investigative Reporting revealed several cases where cheap, overseas contractors with","edit","64461"
"Draft of ‘religious freedom’ executive order causes alarm for LGBT rights groups","","02/02/2017","","","","Staff gives interview (or public appearance)","","","

  Southern California Public Radio","","Government accountability, Religion, Working world","Trump","","","","","","state.

The document, obtained by Reveal from the Center for Investigative Reporting, allows federal employees to abstain from their duties","edit","64466"
"Trump Seeks to Take Wrecking Ball to Division Between Church and State","","02/02/2017","","","","Mention / Citation","","","

  Common Dreams","","Government accountability, Religion, Working world","Trump","","","","","","in this way.

Meanwhile, The Nation and the Center for Investigative Reporting (CIR) revealed Wednesday that the Trump administration is","edit","64471"
"Local reporter asks: is the new defense secretary a war criminal?","","02/02/2017","","","","Blog mentions content","","","

  Myinforms","","Government accountability","","","Mattis","","","","of Defense. The week before, Reveal, from the Center for Investigative Reporting, published an extensive investigation into Mattis,","edit","64491"
"Lupron, used to halt puberty in children, may cause lasting health problems","","02/02/2017","","","","Full story","","","

  STAT","","Government accountability, Health, Women's rights","","","","","","","answer is I don’t know.”

This story was originally published by Kaiser Health News and Reveal from the Center for Investigative Reporting.","edit","64501"
"Trump seeks to take wrecking ball to division between church and state","","02/02/2017","","","","Blog mentions content","","","

  Intrepid Report","","Government accountability, Religion","Trump","","","","","","in this way.

Meanwhile, The Nation and the Center for Investigative Reporting (CIR) revealed Wednesday that the Trump administration is","edit","64506"
"Investigative journalist Robert Rosenthal to speak at Congregation Beth Shalom","","02/02/2017","","","","Staff gives interview (or public appearance)","","","

  Napa Valley Register (AP)","","CIR (general)","","","","","","","investigative journalist Robert Rosenthal, executive director of the Center for Investigative Reporting,"" about ""Journalism, Information &","edit","64511"
"Trump Vow: ‘Totally Destroy’ 501(c)(3) Political Activity Ban","","02/03/2017","","","","Mention / Citation","","","

  Bloomberg BNA","","Government accountability, Religion","Trump","","","","","","to fire employees based on their beliefs, according to the Center for Investigative Reporting.

The White House didn’t return a request for","edit","64516"
"Politico shares follow-up with USDA FOIA about Planet Aid","","02/03/2017","","","","Mention / Citation","","","

  Politico","","Government accountability, International","","","Planet Aid, Teacher's Group","","","","CULT TIES: Back in May, Reveal from the Center for Investigative Reporting published an investigation that found the nonprofit Planet Aid","edit","64526"
"Dig Deep: Desperate Times, Chaotic Measures and Profiles in Power","","02/03/2017","","","","Mention / Citation","","","

  BillMoyers.com","","Government accountability","Trump","","Bannon","","","","in the White House. Get to know him
— Reveal, from The Center for Investigative Reporting
This is one-stop-shopping for reporting on Steve","edit","64536"
"New lawsuit filed by farmworker/anti-pesticide advocates Pesticide Advocates Network around how 1,3-d is being regulated. ","","01/31/2017","","Lawsuit filed","","","","","

  Pesticide Action Network, 

  Pesticide Action Network","","Environment, Working world","Dark Side of the Strawberry","","","","","","","edit","64541"
"You are here HOME Department of Pesticide Regulation sued over “underground regulation” of cancer-causing fumigant used in strawberry industry","","01/31/2017","","Lawsuit filed","","","","","
Link","","Environment, Government accountability, Working world","Dark Side of the Strawberry","","","","","","","edit","64546"
"MÉXICO: Polleros desafían el muro de Donald Trump","","02/04/2017","","","","Mention / Citation","","","

  Entorno Inteligente","","Border, Customs and Border Protection","Border drugs, CBP killings","","","","","","","edit","64561"
"Polleros desafían el muro de Donald Trump","","02/04/2017","","","","Mention / Citation","","","

  Diario de Colima","","Border, Customs and Border Protection","CBP killings, Customs and Border Protection","","","","","","York Times”.

La organización de periodismo de investigación Center for Investigative Reporting ha detallado más de un centenar de casos de","edit","64566"
"Polleros desafían el muro de Donald Trump","","02/04/2017","","","","Mention / Citation","","","

  El Diario de Coahuila","","Border, Customs and Border Protection","Border drugs, CBP killings","","","","","","New York Times.

La organización de periodismo de investigación Center for Investigative Reporting ha detallado más de un centenar de casos","edit","64571"
"Women fear drug they used to halt puberty led to health problems","","02/04/2017","","","","Full story","","","

  PBS NewsHour","","Government accountability, Health, Women's rights","","","","","","","to questions from Kaiser Health News and Reveal from The Center for Investigative Reporting.

The FDA is also reviewing deadly seizures","edit","64576"
"Polleros desafían el muro de Donald Trump","","02/04/2017","","","","Mention / Citation","","","

  Línea Directa Portal","","Border, Customs and Border Protection","CBP killings, Customs and Border Protection","","","","","","York Times”.

La organización de periodismo de investigación Center for Investigative Reporting ha detallado más de un centenar de casos de","edit","64581"
"Polleros desafían el muro de Donald Trump","","02/05/2017","","","","Mention / Citation","","","

  Pulso Diario de San Luis","","Border, Customs and Border Protection","Border drugs, Customs and Border Protection","","","","","","York Times”.

La organización de periodismo de investigación Center for Investigative Reporting ha detallado más de un centenar de casos de","edit","64586"
"Polleros desafían el muro de Donald Trump","","02/05/2017","","","","Mention / Citation","","","

  La Prensa de Monclova","","Border, Customs and Border Protection","CBP killings, Customs and Border Protection","","","","","","York Times”.
La organización de periodismo de investigación Center for Investigative Reporting ha detallado más de un centenar de casos de","edit","64596"
"Women fear drug used to delay puberty led to health problems","","02/05/2017","","","","Full story","","","

  Mohave Daily News","","Government accountability, Health, Women's rights","","","","","","","know.”

This story was also published by Reveal from The Center for Investigative Reporting, a nonprofit news organization based in the San","edit","64601"
"Ten Ways to Build a New Canadian Media Ecosystem","","02/05/2017","","","","Mention / Citation","","","

  The Tyee","","CIR (general)","","","","","","","media outlets. Other U.S. models are the Center for Investigative Reporting and the Center for Public Integrity.

Provide public business","edit","64606"
"Women fear drug they used to halt puberty led to health problems","","02/05/2017","","","","Full story","","","

  Philly Voice","","Government accountability, Health, Women's rights","","","","","","","to questions from Kaiser Health News and Reveal from The Center for Investigative Reporting.

The FDA is also reviewing deadly seizures","edit","64611"
